,Avg_FT_DPRRA,Avg_FT_RRA,,,l2Norm_DPRRA,l2Norm_RRA,,,Avg_CS_DPRRA,Avg_CS_RRA,,,Avg_TP_DPRRA,Avg_TP_RRA,,,Avg_TQ_DPRRA,Avg_TQ_RRA
5,41,15.4,,5,98.0969,34.4819,,5,1.6,1,,5,0.0243902,0.0649351,,5,2.9833,1
30,59.8,15.9667,,30,355.941,97.3704,,30,1.56667,1.63333,,30,0.0167224,0.0626305,,30,7.14307,2
55,56.1636,20.0909,,55,449.87,164.721,,55,1.50909,1.45455,,55,0.0178051,0.0497738,,55,18.0136,5
80,78.1625,19.975,,80,864.163,220.095,,80,1.675,1.5125,,80,0.0127939,0.0500626,,80,24.05,7
105,61.8857,17.9619,,105,699.27,229.473,,105,1.67619,1.57143,,105,0.0161588,0.0556734,,105,26.0258,9
130,59.6077,19.7077,,130,745.024,274.78,,130,1.55385,1.5,,130,0.0167764,0.0507416,,130,41.9675,13
155,63.5677,13.6258,,155,899.259,193.023,,155,1.65806,1.50968,,155,0.0157312,0.0733902,,155,39.0596,14
180,62.8944,16.1389,,180,924.362,255.004,,180,1.60556,1.50556,,180,0.0158997,0.0619621,,180,56.8315,18
205,61.3561,13.2439,,205,997.18,215.492,,205,1.59512,1.47805,,205,0.0162983,0.0755064,,205,64.053,22
230,70.1174,23.4174,,230,1349.43,440.25,,230,1.6,1.4913,,230,0.0142618,0.0427033,,230,74.0405,24
255,56.7098,15.1843,,255,1000.54,283.027,,255,1.62353,1.57647,,255,0.0176336,0.0658574,,255,68.0776,23
280,59.9179,16.6393,,280,1086.78,319.445,,280,1.71429,1.49286,,280,0.0166895,0.0600987,,280,72.803,28
305,55.2328,15.9443,,305,1036.39,328.419,,305,1.63279,1.6,,305,0.0181052,0.0627185,,305,76.9221,27
330,54.1364,16.8242,,330,1048.11,359.246,,330,1.62424,1.49394,,330,0.0184719,0.059438,,330,87.2429,32
355,61.4197,18.1042,,355,1266.82,411.029,,355,1.58873,1.54085,,355,0.0162814,0.0552357,,355,102.824,33
380,61.6763,19.7868,,380,1299.76,483.155,,380,1.63684,1.53158,,380,0.0162137,0.0505386,,380,109.568,36
405,65.7556,17.5877,,405,1514.17,433.824,,405,1.71358,1.51605,,405,0.0152078,0.0568581,,405,108.052,39
430,79.7558,24.4674,,430,1933.61,696.488,,430,1.69535,1.48837,,430,0.0125383,0.0408706,,430,144.963,46
455,57.6549,18.822,,455,1424.26,552.11,,455,1.57363,1.53626,,455,0.0173446,0.0531294,,455,131.877,43
480,64.8708,18.9792,,480,1752.11,518.754,,480,1.65,1.49375,,480,0.0154152,0.0526894,,480,146.071,50
505,83.3941,22.9604,,505,2104.12,739.12,,505,1.69307,1.50099,,505,0.0119913,0.0435533,,505,162.797,49
530,84.1151,18.4849,,530,3332.84,528.067,,530,1.64528,1.55472,,530,0.0118885,0.0540982,,530,161.479,49
555,73.645,16.9333,,555,1995,464.366,,555,1.65045,1.50631,,555,0.0135786,0.0590551,,555,177.214,54
580,59.6241,13.9431,,580,1592.94,384.509,,580,1.62069,1.56897,,580,0.0167717,0.07172,,580,165.498,54
605,58.3669,18.6347,,605,1545.85,553.019,,605,1.58843,1.49917,,605,0.017133,0.0536633,,605,188.578,62
630,58.2937,17.7873,,630,1610.19,540.407,,630,1.5873,1.51905,,630,0.0171545,0.0562199,,630,186.301,61
655,69.1725,16.626,,655,1963.44,528.984,,655,1.65496,1.50076,,655,0.0144566,0.0601469,,655,201.38,67
680,69.2441,18.8015,,680,2206.88,588.358,,680,1.61029,1.50294,,680,0.0144417,0.0531873,,680,212.446,67
705,64.7007,18.3333,,705,1975.85,623.908,,705,1.60284,1.5305,,705,0.0154558,0.0545455,,705,220.072,68
730,65.3205,20.1315,,730,1931.58,646.851,,730,1.62877,1.51644,,730,0.0153091,0.0496734,,730,217.655,71
755,74.0358,17.2344,,755,2580.05,562.896,,755,1.60132,1.49934,,755,0.013507,0.0580234,,755,246.859,76
780,70.5936,25.9833,,780,2274.79,978.84,,780,1.62821,1.54103,,780,0.0141656,0.0384862,,780,237.152,74
805,68.0596,15.8211,,805,2416.12,514.902,,805,1.6087,1.49814,,805,0.014693,0.0632067,,805,258.873,83
830,59.1,15.9337,,830,1847.1,536.743,,830,1.63614,1.50964,,830,0.0169205,0.0627599,,830,231.341,81
855,128.83,16.4713,,855,9217.95,569.736,,855,1.65848,1.49708,,855,0.00776214,0.0607115,,855,305.719,87
880,65.8375,9.32386,,880,2825.57,312.485,,880,1.56364,1.49659,,880,0.0151889,0.107252,,880,257.807,88
905,26.1757,9.35249,,905,865.178,316.272,,905,1.43646,1.51934,,905,0.0382034,0.106923,,905,215.962,87
930,29.4452,9.08387,,930,999.069,311.801,,930,1.46452,1.52903,,930,0.0339614,0.110085,,930,230.546,90
955,28.2901,8.89843,,955,1009.33,310.293,,955,1.41571,1.52356,,955,0.0353481,0.112379,,955,230.979,91
980,30.5122,8.06327,,980,1072.43,281.844,,980,1.45408,1.5051,,980,0.0327737,0.124019,,980,244.318,97
1005,30.7224,8.24179,,1005,1105.72,293.038,,1005,1.44876,1.51144,,1005,0.0325496,0.121333,,1005,254.341,98
1030,31.3854,9.8068,,1030,1160.25,355.72,,1030,1.46117,1.51262,,1030,0.0318619,0.10197,,1030,261.969,101
1055,27.3469,9.72038,,1055,968.043,357.705,,1055,1.43033,1.49763,,1055,0.0365672,0.102877,,1055,268.053,109
1080,35.5111,9.53333,,1080,1413.32,350.622,,1080,1.48889,1.51111,,1080,0.0281602,0.104895,,1080,290.182,107
1105,35.5367,9,,1105,1414.68,335.552,,1105,1.48688,1.49231,,1105,0.02814,0.111111,,1105,296.112,118
1130,37.1265,8.57257,,1130,1478.01,323.974,,1130,1.52035,1.51327,,1130,0.0269349,0.116651,,1130,308.549,111
1155,31.5758,9.3974,,1155,1225.92,358.686,,1155,1.4381,1.49524,,1155,0.0316699,0.106412,,1155,295.71,115
1180,35.6373,8.41271,,1180,1407.15,324.929,,1180,1.50424,1.50593,,1180,0.0280605,0.118868,,1180,317.739,117
