#Processes;Avg_FT_RRA;l2Norm_RRA;Avg_CS_RRA;Avg_TP_RRA;Avg_TQ_RRA
5;10.2;22.8254;1;0.0980392;1
30;11.2667;72.2772;1.63333;0.0887574;2
55;11.3273;111.351;1.45455;0.0882825;5
80;7.575;75.2463;1.425;0.132013;8
105;8.49524;96.9226;1.44762;0.117713;10
130;7.78462;100.05;1.52308;0.128458;12
155;7.87742;109.046;1.42581;0.126945;16
180;7.73889;119.319;1.63333;0.129218;15
205;8.5561;136.051;1.53171;0.116876;19
230;7.69565;129.329;1.53913;0.129944;21
255;8.92157;159.747;1.50196;0.112088;26
280;7.58214;142.229;1.51786;0.131889;27
305;7.71803;151.789;1.4918;0.129567;31
330;7.43939;150.469;1.49394;0.13442;34
355;8.29577;175.929;1.50141;0.120543;35
380;7.70263;171.828;1.50789;0.129826;37
405;8.75802;200.112;1.49877;0.114181;41
430;8.38837;198.401;1.50465;0.119213;42
455;7.91648;191.499;1.5011;0.126319;47
480;7.35208;178.816;1.50833;0.136016;47
505;7.27327;181.122;1.49901;0.13749;53
530;7.66604;197.487;1.50377;0.130445;52
555;7.73694;203.99;1.58739;0.12925;50
580;8.18793;221.93;1.49828;0.122131;59
605;7.3438;199.316;1.49256;0.136169;60
630;7.43651;207.386;1.4873;0.134472;65
655;7.57099;215.576;1.54504;0.132083;61
680;7.38676;213.792;1.49412;0.135377;69
705;7.3078;215.397;1.54752;0.13684;66
730;7.87397;240.998;1.49863;0.127001;74
755;7.4702;228.661;1.49934;0.133865;75
780;7.34872;231.21;1.51923;0.136078;76
805;7.19503;226.91;1.50062;0.138985;82
830;8.0241;259.696;1.52892;0.124625;80
855;8.17076;270.011;1.54503;0.122388;81
880;7.48068;251.462;1.5;0.133678;89
905;7.3105;243.043;1.50829;0.13679;89
930;7.29032;247.911;1.53978;0.137168;88
955;7.43351;255.92;1.54974;0.134526;90
980;7.51224;262.423;1.55306;0.133116;92
1005;7.39104;258.925;1.49453;0.135299;101
1030;7.66214;279.442;1.50194;0.130512;102
1055;7.3782;267.966;1.50616;0.135534;104
1080;7.32963;267.664;1.50093;0.136433;112
1105;18.4968;807.634;1.49864;0.0540633;113
1130;7.44602;279.875;1.50531;0.1343;112
1155;8.01818;307.852;1.49957;0.124717;117
1180;7.37712;282.735;1.50169;0.135554;117
1205;7.27552;280.377;1.49959;0.137447;127
1230;7.26911;281.594;1.49919;0.137569;125
1255;7.33227;288.135;1.4996;0.136383;125
1280;7.41797;298.263;1.5375;0.134808;122
1305;7.32414;297.13;1.53487;0.136535;126
1330;8.51955;418.264;1.52331;0.117377;129
1355;7.37786;301.723;1.49668;0.135541;138
1380;11.2855;827.46;1.53696;0.0886092;133
1405;8.58861;433.708;1.49893;0.116433;141
1430;7.49161;314.508;1.53357;0.133483;136
1455;7.30309;308.739;1.50034;0.136928;151
1480;7.30541;312.743;1.49865;0.136885;153
1505;7.39336;319.714;1.50033;0.135257;153
1530;7.5098;330.69;1.49935;0.133159;152
1555;7.37942;322.39;1.53505;0.135512;149
1580;7.43608;330.828;1.49937;0.13448;157
1605;7.49844;336.358;1.49533;0.133361;167
1630;7.41902;331.202;1.49939;0.134789;165
1655;9.20181;442.245;1.49909;0.108674;168
1680;7.7869;357.966;1.51786;0.128421;165
1705;7.61114;351.731;1.49795;0.131386;175
1730;7.51329;356.197;1.5;0.133097;176
1755;7.8661;372.869;1.51168;0.127128;173
1780;7.39831;346.764;1.5;0.135166;179
1805;7.41551;351.916;1.53518;0.134852;173
1830;7.33224;350.234;1.51257;0.136384;180
1855;7.62911;380.518;1.49811;0.131077;185
1880;8.13245;491.295;1.5117;0.122964;185
1905;7.46194;364.095;1.54698;0.134013;180
1930;7.33109;355.656;1.49896;0.136405;196
1955;7.54578;372.097;1.49872;0.132524;196
1980;7.46414;370.817;1.50808;0.133974;195
2005;7.06683;348.722;1.51721;0.141506;197
2030;7.58916;382.304;1.49704;0.131767;207
2055;7.26277;364.808;1.49781;0.137688;205
2080;8.19952;428.55;1.53606;0.121958;200
2105;7.51449;385.583;1.50024;0.133076;212
2130;7.67089;396.894;1.50141;0.130363;211
2155;7.37169;382.202;1.49884;0.135654;216
2180;7.37156;381.007;1.52523;0.135657;212
2205;8.04444;441.386;1.49977;0.124309;220
2230;8.05605;519.447;1.4991;0.12413;232
2255;7.4;388.375;1.5082;0.135135;223
2280;9.31316;710.57;1.50482;0.107375;226
2305;7.33623;389.138;1.49935;0.13631;230
2330;7.87339;437.649;1.50215;0.12701;232
2355;8.1482;522.02;1.49851;0.122727;237
2380;7.42773;403.591;1.5;0.134631;241
2405;7.66985;445.464;1.50021;0.130381;246
2430;7.40288;407.508;1.51358;0.135083;238
2455;7.29857;401.868;1.4998;0.137013;255
2480;7.52056;418.36;1.50645;0.132969;245
2505;7.59082;424.301;1.51337;0.131738;247
2530;7.55494;424.514;1.5083;0.132364;249
2555;7.69002;438.705;1.50998;0.130039;252
2580;9.87364;589.031;1.49884;0.10128;268
2605;7.32246;415.436;1.49981;0.136566;262
2630;9.39316;558.718;1.50076;0.10646;262
2655;7.92015;459.874;1.49868;0.12626;268
2680;7.51455;436.828;1.53396;0.133075;258
2705;7.57597;440.755;1.52348;0.131996;263
2730;9.72051;599.172;1.4989;0.102875;276
2755;7.31071;428.193;1.50853;0.136786;272
2780;7.60971;448.267;1.50827;0.131411;274
2805;8.11907;565.857;1.51123;0.123167;276
2830;7.86219;473.954;1.50459;0.127191;281
2855;8.24939;556.672;1.50018;0.121221;285
2880;9.05694;766.26;1.49896;0.110413;293
2905;7.55043;456.646;1.51153;0.132443;286
2930;8.05666;492.315;1.50648;0.124121;291
2955;7.50457;455.653;1.50017;0.133252;299
2980;7.73658;472.384;1.49966;0.129256;307
3005;7.68852;477.431;1.50283;0.130064;299
3030;7.4736;458.599;1.49802;0.133804;309
3055;7.78592;483.382;1.50638;0.128437;302
3080;7.56266;469.82;1.5;0.132229;311
3105;7.56586;475.42;1.49984;0.132173;312
3130;7.54409;472.067;1.5016;0.132554;312
3155;7.5065;474.804;1.49794;0.133218;318
3180;7.9327;502.476;1.49937;0.12606;322
3205;9.722;803.402;1.50702;0.10286;317
3230;7.84551;503.032;1.50867;0.127461;319
3255;7.61935;486.509;1.49892;0.131245;330
3280;7.30854;463.245;1.49756;0.136826;330
3305;7.62057;504.063;1.49955;0.131224;332
3330;7.24354;461.522;1.4997;0.138054;332
3355;7.493;481.827;1.50015;0.133458;342
3380;10.376;971.625;1.49882;0.0963759;341
3405;7.53686;495.368;1.49868;0.132681;349
3430;7.79971;513.832;1.51924;0.12821;336
3455;7.68278;504.936;1.49812;0.130161;348
3480;7.64109;512.587;1.50057;0.130871;347
3505;7.52753;495.778;1.49986;0.132846;366
3530;11.7739;929.048;1.5272;0.0849334;342
3555;7.48973;505.66;1.5038;0.133516;353
3580;7.7095;526.173;1.49944;0.12971;359
3605;7.74008;543.617;1.52455;0.129198;351
3630;7.87493;536.019;1.51129;0.126985;358
3655;7.47715;506.404;1.50561;0.133741;363
3680;7.80951;541.246;1.49973;0.128049;373
3705;8.27072;570.357;1.50661;0.120909;366
3730;7.5555;520.888;1.49866;0.132354;387
3755;7.7715;564.856;1.49907;0.128675;383
3780;7.47328;512.306;1.49974;0.13381;384
3805;7.35585;512.881;1.49882;0.135946;380
3830;7.52115;543.408;1.49896;0.132958;391
3855;7.51725;521.79;1.49987;0.133027;385
3880;7.32165;513.04;1.51108;0.136581;382
3905;7.55032;525.88;1.49987;0.132445;404
3930;7.55725;530.875;1.49924;0.132323;403
3955;7.63211;535.672;1.50493;0.131025;393
3980;7.44472;527.373;1.49899;0.134323;400
4005;7.5196;533.05;1.50861;0.132986;396
4030;7.44491;528.041;1.5;0.13432;409
4055;7.55783;543.53;1.50382;0.132313;403
4080;7.64608;554.687;1.49877;0.130786;415
4105;7.74251;555.326;1.53228;0.129157;397
4130;7.52809;540.732;1.49831;0.132836;422
4155;7.7006;559.516;1.49916;0.12986;420
4180;7.88852;615.557;1.49952;0.126767;418
4205;8.36409;662.103;1.50987;0.119559;416
4230;7.59598;557.877;1.50757;0.131649;418
4255;7.6235;555.572;1.50411;0.131173;423
4280;7.85935;579.379;1.51051;0.127237;423
4305;7.72125;573.048;1.49988;0.129513;435
4330;7.93695;629.96;1.50462;0.125993;430
4355;7.924;671.727;1.50264;0.126199;434
4380;7.52146;558.681;1.50685;0.132953;434
4405;7.39024;546.053;1.50783;0.135314;437
4430;7.57765;577.724;1.50677;0.131967;440
4455;7.41549;558.868;1.51336;0.134853;439
4480;7.8625;611.33;1.5;0.127186;453
4505;7.72342;592.814;1.50499;0.129476;447
4530;8.02693;641.066;1.5;0.124581;463
4555;8.1607;639.958;1.50011;0.122538;457
4580;7.57773;577.984;1.49891;0.131966;459
4605;7.56721;577.606;1.49967;0.132149;463
4630;7.75011;617.36;1.49935;0.12903;463
4655;7.91149;625.505;1.49968;0.126398;469
4680;7.78248;604.435;1.49808;0.128494;473
4705;7.98257;634.79;1.51392;0.125273;463
4730;7.83362;617.46;1.49894;0.127655;481
4755;7.9062;618.327;1.50011;0.126483;484
4780;7.73703;613.16;1.49958;0.129249;487
4805;7.72133;610.089;1.5001;0.129511;481
4830;7.57329;590.128;1.51222;0.132043;476
4855;7.7551;610.646;1.49949;0.128947;496
4880;7.84283;620.451;1.51148;0.127505;481
4905;7.60877;598.377;1.4999;0.131427;495
4930;7.70142;609.078;1.5;0.129846;493
4955;7.94995;633.113;1.4995;0.125787;495
4980;7.68394;615.225;1.4996;0.130142;504
5005;7.76823;632.046;1.5001;0.128729;507
5030;7.68708;612.911;1.4996;0.130088;511
5055;7.98872;642.795;1.50326;0.125176;503
5080;7.88839;636.826;1.49902;0.126769;508
5105;7.92654;651.605;1.5001;0.126158;512
5130;8.14425;672.64;1.5;0.122786;522
5155;7.79282;633.781;1.50727;0.128323;510
5180;7.88069;642.9;1.49942;0.126892;529
5205;7.76427;634.136;1.51258;0.128795;512
5230;7.67973;626.518;1.53308;0.130213;505
5255;7.77336;635.302;1.49914;0.128645;525
5280;7.40625;600.619;1.49962;0.135021;532
5305;7.64166;625.33;1.51461;0.130862;521
5330;7.94503;656.604;1.49962;0.125865;534
5355;7.93259;667.175;1.49841;0.126062;535
5380;8.11171;688.146;1.49851;0.123279;545
5405;8.08233;675.498;1.49972;0.123727;540
5430;7.97035;666.254;1.49945;0.125465;556
5455;8.35325;705.177;1.49918;0.119714;554
5480;7.79526;652.181;1.49909;0.128283;553
5505;7.7426;647.897;1.50481;0.129156;548
5530;7.84394;660.12;1.50181;0.127487;551
5555;7.73123;649.628;1.49955;0.129345;564
5580;7.93423;674.112;1.50197;0.126036;556
5605;7.89616;680.332;1.51258;0.126644;552
5630;7.8389;665.918;1.50515;0.127569;560
5655;7.98108;711.325;1.51724;0.125296;556
5680;8.29366;728.907;1.49982;0.120574;567
5705;7.73146;659.004;1.50009;0.129342;579
5730;8.08045;691.007;1.49965;0.123755;583
5755;7.95222;689.289;1.52024;0.125751;563
5780;7.76003;670.163;1.50692;0.128865;573
5805;8.00879;715.587;1.49957;0.124863;581
5830;8.1048;733.943;1.5;0.123384;589
5855;8.70692;874.566;1.5035;0.114851;583
5880;7.71548;665.108;1.49915;0.12961;590
5905;7.83455;679.783;1.50127;0.12764;589
5930;7.74705;675.759;1.50304;0.129081;591
5955;7.99127;699.281;1.5063;0.125137;590
5980;7.77977;685.652;1.49983;0.128539;612
6005;7.81132;680.545;1.50325;0.128019;598
6030;7.85837;692.236;1.49983;0.127253;603
6055;7.95557;701.291;1.49992;0.125698;608
6080;8.00839;726.163;1.5;0.124869;607
6105;7.69762;674.185;1.49992;0.12991;621
6130;8.077;723.382;1.5;0.123808;616
6155;7.86921;709.501;1.51259;0.127078;608
6180;7.94159;707.106;1.50712;0.125919;612
6205;7.95214;707.578;1.49976;0.125752;628
6230;8.42616;762.63;1.51011;0.118678;617
6255;7.85596;700.406;1.49976;0.127292;628
6280;8.10987;728.563;1.49984;0.123306;631
6305;8.08977;739.312;1.50309;0.123613;628
6330;7.82417;706.004;1.49937;0.127809;639
6355;7.92368;718.604;1.51267;0.126204;628
6380;7.88119;713.769;1.50188;0.126884;636
6405;7.82451;712.18;1.4993;0.127803;643
6430;7.74697;700.93;1.49969;0.129083;655
6455;7.80403;708.484;1.49961;0.128139;648
6480;8.06373;736.878;1.51806;0.124012;636
6505;8.21076;762.866;1.49946;0.121791;658
6530;8.35436;787.039;1.52557;0.119698;635
6555;7.9254;751.365;1.49977;0.126177;666
6580;7.78663;712.858;1.50289;0.128425;655
6605;7.68221;703.481;1.50008;0.130171;660
6630;7.88024;723.438;1.51538;0.1269;651
